system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo,wind_speed,wind_dir_rad,plume_score_nov,plume_score_oct
83,,,0.0003617427686243,28.45,77.5,0.5860576119687823,-0.5857222139835357,"{""type"":""Point"",""coordinates"":[77.5,28.45]}",0.8285734949298865,2.355908260673233,0.0,0.0
84,,,0.0001768668675445,28.6,74.5,0.3982232749462127,0.0285433974530962,"{""type"":""Point"",""coordinates"":[74.5,28.6]}",0.3992449151173404,1.4992418293408258,0.0,0.0
85,,,0.0002012623814619,28.6,74.65,0.419522170888053,0.0163695964548322,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.6]}",0.4198414171502364,1.5317964897600873,0.0,0.0
86,,,0.0001910051937507,28.6,74.8,0.4254866619904835,0.0268157634470198,"{""type"":""Point"",""coordinates"":[74.8,28.600000000000005]}",0.42633083949094097,1.507855825462266,0.0,0.0
87,,,0.000177639882466,28.6,74.95,0.4149489422639211,0.0244801514678531,"{""type"":""Point"",""coordinates"":[74.95,28.6]}",0.4156704253393979,1.511869053426341,0.0,0.0
88,,,0.0001934270942304,28.6,75.1,0.3591126249896155,0.0495042264461517,"{""type"":""Point"",""coordinates"":[75.1,28.600000000000005]}",0.3625086838449033,1.4338081689695694,0.0,0.0
89,,,0.0002038543954708,28.6,75.25,0.2900889840390948,0.093099264966117,"{""type"":""Point"",""coordinates"":[75.25,28.600000000000005]}",0.304662258571792,1.260246848005181,0.0,0.0
90,,,0.0001970401993877,28.6,75.4,0.2534750110573239,0.1021663765112558,"{""type"":""Point"",""coordinates"":[75.4,28.6]}",0.2732902298289314,1.1876522987728781,0.0,0.0
91,,,0.0002299947256046,28.6,75.55,0.124432110124164,0.120606114466985,"{""type"":""Point"",""coordinates"":[75.55,28.6]}",0.1732893097590719,0.8010107674800122,0.0,0.0
92,,,0.0002314097476929,28.6,75.7,0.1238756729496849,0.1176292942629919,"{""type"":""Point"",""coordinates"":[75.7,28.6]}",0.17082691010946383,0.8112567883545717,0.0,0.0
93,,,0.0002535958114657,28.6,75.85,0.1555556317170461,0.1069484810034434,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.600000000000005]}",0.18877375916115346,0.9684915886973005,0.0,0.0
94,,,0.0002255544726635,28.6,76.0,0.1912415312396155,0.0533196018801795,"{""type"":""Point"",""coordinates"":[76.0,28.600000000000005]}",0.1985353953720436,1.2988936315951982,0.0,0.0
95,,,0.0002564149880797,28.6,76.15,0.2429172853628794,-0.0660014159149594,"{""type"":""Point"",""coordinates"":[76.15,28.600000000000005]}",0.25172404420485944,1.8360949995663887,0.014295584181869396,0.0
96,,,0.0002357550841814,28.6,76.3,0.2674161189132266,-0.1283688339922163,"{""type"":""Point"",""coordinates"":[76.3,28.6]}",0.2966309798303848,2.018343949359661,0.49263779546998787,0.0
97,,,0.00024006882322,28.6,76.45,0.3402927736441294,-0.2483819226423899,"{""type"":""Point"",""coordinates"":[76.45,28.600000000000005]}",0.42129888593484893,2.2013131150452283,2.150782781101576,0.0
98,,,0.0002082765457055,28.6,76.6,0.3948344674375322,-0.286958854066001,"{""type"":""Point"",""coordinates"":[76.6,28.600000000000005]}",0.4880979825850053,2.199272023844768,3.3744742132197985,0.0
99,,,0.0002425500013024,28.6,76.75,0.4321581436528099,-0.3280192381805842,"{""type"":""Point"",""coordinates"":[76.75,28.600000000000005]}",0.542547031824904,2.220049050424761,4.646408889060472,0.0
100,,,0.0002256997464545,28.6,76.9,0.5037662843863171,-0.4479160209496814,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.600000000000005]}",0.6740988288877168,2.297575895838169,4.587750971955726,0.0
101,,,0.0002617545003156,28.6,77.05,0.5569882624679142,-0.5386780109670428,"{""type"":""Point"",""coordinates"":[77.05,28.6]}",0.774861228883234,2.3394845232082213,4.783564582795235,0.0
102,,,0.000315748260637,28.6,77.2,0.5779897815651364,-0.5499837564097511,"{""type"":""Point"",""coordinates"":[77.2,28.6]}",0.7978435435022924,2.3313709713130137,4.3141805320418065,0.0
